name,ERA,W,L,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,KL,2B,3B,HR,AB,B/AVG,WP,HBP,BK
1,Dante Dimatteo (W&J),0.83,9,0,11,1,0-0,1,65.1,46,8,6,13,68,18,6,0,3,230,.200,4,2
2,K. Banfi (Westminster),1.71,5,1,8,4,1-0,4,84.1,78,22,16,21,53,8,11,0,0,314,.248,1,6
3,David Leslie (Grove City),2.05,9,2,12,1,0-0,0,74.2,46,23,17,24,84,27,10,0,1,258,.178,6,5
4,Erik Streussnig (W&J),2.30,7,1,8,1,0-0,0,54.2,44,19,14,23,36,12,8,2,1,202,.218,3,5
5,Walker Cunningham (Allegheny),2.59,4,2,9,1,0-0,0,55.2,47,29,16,16,52,6,7,2,1,213,.221,8,7
6,E. Marszalek (W&J),3.31,5,3,11,0,0-0,0,68.0,70,30,25,10,58,13,13,4,1,273,.256,1,7
7,Sonny Peluchette (Bethany),3.47,3,3,7,3,0-0,0,57.0,59,29,22,17,37,12,7,1,3,226,.261,5,6
8,Bryce Trischler (Grove City),3.67,6,3,10,3,1-0,3,76.0,65,42,31,23,53,16,9,1,8,282,.230,7,10
9,Djakovich Tyson (Westminster),3.92,6,1,9,0,0-0,0,57.1,59,27,25,11,38,13,7,3,1,226,.261,3,8
10,J. Kreuzwies (Saint Vincent),4.06,4,2,11,1,1-0,0,57.2,55,35,26,18,51,13,7,2,2,226,.243,3,4
11,Caleb Graft (Geneva),4.92,2,3,10,1,0-0,1,67.2,76,44,37,33,57,20,13,1,5,264,.288,16,8
12,Dash Lanzilotta (Grove City),5.04,4,4,10,1,0-0,1,60.2,62,45,34,32,58,12,9,2,2,234,.265,10,13
13,Dylan Rowe (Geneva),5.04,4,3,10,2,1-0,0,55.1,70,40,31,15,21,5,11,0,3,227,.308,2,2
14,R. Gibbons (Westminster),5.22,4,4,11,1,0-0,0,58.2,61,36,34,18,36,11,10,2,3,222,.275,8,2
15,T. Dancu (Saint Vincent),5.24,2,4,11,1,1-0,1,56.2,62,41,33,29,47,12,9,4,1,224,.277,3,7
16,Jonathan Perez (Franciscan),5.68,4,1,10,1,0-0,0,50.2,72,35,32,21,21,10,12,0,2,206,.350,7,6
17,Trey Mantle (Bethany),6.00,3,4,7,2,1-0,1,48.0,70,45,32,14,20,2,16,0,3,209,.335,1,6
18,Jeremy Sagun (Franciscan),6.33,0,7,9,1,0-0,0,48.1,63,48,34,21,28,7,17,0,2,198,.318,4,5
19,A. Katon (Thiel),6.41,4,3,13,2,0-0,1,59.0,79,48,42,25,56,15,16,6,5,246,.321,3,9
20,Gianni Cantini (Chatham),6.49,1,1,9,0,0-0,0,51.1,53,44,37,39,54,18,9,3,4,197,.269,4,3
21,Matt Bamford (Chatham),7.11,3,3,12,0,0-0,0,44.1,44,37,35,40,50,11,9,3,0,178,.247,10,11
22,Logan Bennet (Bethany),7.16,4,6,10,1,0-0,0,49.0,62,44,39,25,14,2,16,3,3,202,.307,2,11
23,Mark Schweickert (Allegheny),7.36,3,2,9,0,0-0,0,44.0,48,38,36,24,40,12,9,0,5,177,.271,6,14
24,D. Lucey (Waynesburg),7.68,0,4,5,0,0-0,0,41.0,74,43,35,9,15,7,16,7,2,187,.396,1,5
25,Nate Lucas (Thiel),7.76,2,7,12,0,0-0,0,53.1,72,57,46,22,41,9,16,4,4,236,.305,4,7
26,E. Erhard (Waynesburg),8.37,1,7,9,0,0-0,0,43.0,73,44,40,9,27,4,19,1,8,198,.369,3,2
